Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,49; 6,27; 4,73; 14; 02.02.2006; 5,14; Казаков Матвей Рустамович; Соображения высшего порядка, а; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 3,85; 8,84; 6,9; 35; 23.09.1987; 5,24; Агафонов Илья Павлович; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,51; 4,04; 7,95; 3; 05.11.2021; 3,14; Литвинов Тимур Ярославович; Таким образом, сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 3,85; 7,9; 2,42; 27; 03.12.1982; 5,24; Шевелева Марина Васильевна; Таким образом, сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,25; 1,18; 2,04; 95; 12.09.2001; 4,5; Ильина Василиса Михайловна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,06; 5,96; 2,04; 89; 27.05.1999; 3,89; Морозов Олег Максимович; Задача организации, в особенно; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 3,85; 1,02; 6,49; 31; 19.09.1974; 0,54; Петрова Дарина Семёновна; Не следует, однако, забывать о; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 1,17; 6,61; 7,9; 78; 24.03.1982; 5,66; Тарасова Анна Фёдоровна; Таким образом, сложившаяся стр; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 2,09; 4,29; 5,55; 81; 23.09.1987; 1,02; Григорьев Михаил Кириллович; Повседневная практика показыва; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 0,4; 9,9; 5,23; 81; 27.07.2018; 7,95; Ильина Василиса Михайловна; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 7,15; 7,9; 1,18; 57; 19.09.1974; 5,66; Калашников Кирилл Кириллович; Соображения высшего порядка, а; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 5,99; 0,54; 4,5; 69; 10.01.2006; 4,72; Михайлова Мира Артёмовна; Задача организации, в особенно; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 7,11; 5,66; 9,69; 63; 27.09.1980; 1,02; Романова Наталья Дмитриевна; Разнообразный и богатый опыт п; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,56; 5,25; 6,22; 94; 15.04.1986; 8,56; Михайлова Мира Артёмовна; Соображения высшего порядка, а; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,24; 8,85; 7,73; 78; 02.02.2006; 5,66; Ушакова Ксения Кирилловна; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,9; 3,35; 6,9; 21; 27.09.1980; 6,5; Алексеева Виктория Максимовна; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,9; 1,18; 3,85; 78; 11.08.2013; 6,12; Коровина Валерия Кирилловна; Повседневная практика показыва; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 7,95; 5,82; 0,46; 75; 01.11.2019; 0,54; Калинина Ника Львовна; Таким образом, постоянное инфо; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 8,33; 2,84; 0,06; 94; 04.12.2022; 3,14; Мартынов Данила Фёдорович; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,51; 0,93; 0,46; 10; 13.08.2011; 5,01; Симонов Максим Ильич; Дорогие друзья, постоянный кол; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 7,98; 3,14; 1,0; 76; 09.07.2009; 6,9; Ильина Василиса Михайловна; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,14; 4,72; 5,55; 42; 21.01.2018; 8,33; Зайцев Степан Андреевич; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 3,06; 4,73; 4,22; 9; 29.09.1970; 7,11; Кожевников Марк Романович; Таким образом, постоянное инфо; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,25; 4,22; 6,49; 69; 29.10.1987; 5,96; Злобин Вадим Михайлович; Не следует, однако, забывать о; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 7,15; 7,95; 8,88; 81; 09.07.2009; 4,51; Шевелева Марина Васильевна; Соображения высшего порядка, а; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,82; 1,17; 5,66; 9; 01.11.2019; 0,46; Сидорова Екатерина Ивановна; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 1,0; 5,66; 1,18; 75; 29.10.1987; 6,22; Сергеева Элина Артёмовна; Дорогие друзья, консультация с; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 3,06; 5,51; 3,85; 89; 04.12.2022; 9,16; Львов Владимир Константинович; Соображения высшего порядка, а; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 9,0; 4,5; 4,51; 53; 25.07.1991; 8,91; Старостина Александра Леонидов; Повседневная практика показыва; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 3,89; 9,0; 5,9; 99; 03.12.1982; 1,51; Симонов Максим Ильич; Таким образом, постоянное инфо; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,85; 8,4; 8,4; 87; 27.07.2018; 8,4; Калашников Кирилл Кириллович; Дорогие друзья, постоянный кол; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 1,18; 3,14; 7,73; 27; 22.05.2022; 5,96; Злобин Вадим Михайлович; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 5,9; 4,5; 8,85; 99; 10.01.2006; 5,51; Калинина Ника Львовна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,56; 8,84; 4,73; 88; 01.11.2019; 8,19; Сергеева Юлия Андреевна; Соображения высшего порядка, а; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,25; 9,28; 3,9; 44; 13.08.2011; 4,04; Андреев Константин Денисович; Не следует, однако, забывать о; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 0,93; 5,01; 0,93; 35; 05.11.2021; 7,73; Калашников Кирилл Кириллович; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 4,5; 3,35; 6,28; 9; 11.05.1990; 8,19; Григорьев Михаил Кириллович; Таким образом, постоянное инфо; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,4; 5,14; 4,61; 31; 15.05.1991; 3,9; Орлова Надежда Данииловна; Соображения высшего порядка, а; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 2,84; 7,9; 4,73; 53; 04.12.2022; 8,88; Воробьева Антонина Адамовна; Дорогие друзья, консультация с; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 7,11; 6,9; 6,28; 69; 12.09.2001; 5,23; Морозов Игорь Саввич; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,27; 0,06; 4,22; 79; 19.09.1974; 9,16; Воробьева Антонина Адамовна; Соображения высшего порядка, а; 
Задача организации, в особенно; Петрова Дарина Семёновна; 0,03; 2,84; 9,16; 75; 12.09.2001; 6,6; Воробьева Антонина Адамовна; Не следует, однако, забывать о; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,96; 4,72; 7,15; 94; 05.09.1999; 5,55; Зайцев Степан Андреевич; Практический опыт показывает, ; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 1,51; 5,82; 0,06; 3; 12.12.2004; 5,51; Петрова Дарина Семёновна; Не следует, однако, забывать о; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 6,27; 0,46; 7,9; 90; 22.07.2000; 3,06; Журавлев Богдан Артёмович; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 7,9; 5,99; 8,19; 56; 02.02.2006; 8,85; Иванова Ева Семёновна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,06; 7,11; 5,85; 87; 24.03.1982; 7,9; Кожевников Марк Романович; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 6,22; 5,66; 3,06; 78; 27.07.2018; 5,82; Казаков Матвей Рустамович; Разнообразный и богатый опыт п; 
Задача организации, в особенно; Петрова Дарина Семёновна; 7,98; 3,9; 5,14; 81; 29.09.1970; 8,4; Львов Владимир Константинович; Таким образом, сложившаяся стр; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 5,24; 7,73; 4,61; 59; 02.10.2019; 3,06; Кожевников Марк Романович; Разнообразный и богатый опыт р; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 8,85; 5,14; 5,5; 24; 29.10.1987; 3,06; Морозов Олег Максимович; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,73; 5,25; 5,55; 86; 13.08.2011; 5,5; Платонова Таисия Александровна; Дорогие друзья, постоянный кол; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 2,21; 5,24; 0,03; 21; 15.02.2002; 4,04; Фетисова Дарья Артёмовна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,25; 1,51; 1,0; 94; 04.07.1999; 7,11; Фетисова Дарья Артёмовна; Задача организации, в особенно; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,96; 1,18; 2,21; 88; 19.09.2019; 5,51; Воробьева Антонина Адамовна; Соображения высшего порядка, а; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,28; 7,15; 2,04; 87; 23.09.1987; 3,35; Максимова Вероника Михайловна; Таким образом, постоянное инфо; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 6,12; 6,12; 7,98; 67; 05.11.2021; 8,85; Харитонова Виктория Викторовна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,88; 2,09; 5,24; 39; 12.12.2004; 8,4; Гусев Роман Александрович; Таким образом, сложившаяся стр; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,72; 0,4; 9,9; 42; 31.10.1997; 6,22; Селезнев Георгий Артёмович; Разнообразный и богатый опыт н; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 9,9; 1,51; 2,84; 26; 13.08.2011; 2,04; Ушакова Ксения Кирилловна; Значимость этих проблем настол; 
Таким образом, постоянное инфо; Петрова Дарина Семёновна; 5,66; 1,02; 0,03; 99; 25.03.1985; 8,84; Костина Зоя Ивановна; Повседневная практика показыва; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 5,85; 5,99; 6,22; 45; 21.01.2018; 8,4; Морозов Игорь Саввич; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,46; 6,49; 6,6; 39; 05.11.2021; 8,4; Шевелева Марина Васильевна; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,98; 2,21; 2,42; 85; 23.09.1987; 5,66; Кожевников Марк Романович; Равным образом сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,96; 4,72; 8,85; 94; 10.01.2006; 7,15; Михайлова Мира Артёмовна; Дорогие друзья, консультация с; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 7,15; 6,9; 1,18; 99; 30.09.2002; 6,9; Попов Максим Леонович; Повседневная практика показыва; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 7,11; 9,28; 3,06; 89; 12.12.2004; 6,61; Платонова Таисия Александровна; С другой стороны новая модель ; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,24; 5,9; 0,46; 7; 11.08.2013; 9,69; Зайцева Арина Давидовна; Практический опыт показывает, ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,93; 7,98; 5,5; 21; 09.07.2009; 2,21; Петрова Дарина Семёновна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,61; 4,72; 5,51; 43; 15.02.2002; 0,54; Злобин Вадим Михайлович; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,28; 5,23; 5,99; 51; 01.11.2019; 4,29; Селезнев Георгий Артёмович; Дорогие друзья, постоянный кол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 7,9; 0,93; 4,29; 2; 11.08.2013; 5,55; Кожевников Марк Романович; Не следует, однако, забывать о; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 1,02; 7,9; 5,23; 90; 29.12.1992; 2,21; Михайлова Мира Артёмовна; Разнообразный и богатый опыт р; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,0; 5,82; 4,22; 31; 20.11.2016; 0,06; Воронцова Елизавета Андреевна; Соображения высшего порядка, а; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 9,9; 3,85; 8,19; 29; 27.07.2018; 0,46; Костина Зоя Ивановна; Значимость этих проблем настол; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 9,0; 7,9; 3,06; 87; 29.10.1987; 4,51; Симонов Максим Ильич; Равным образом сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 4,61; 1,51; 5,01; 89; 15.05.1991; 1,02; Воробьева Антонина Адамовна; Равным образом дальнейшее разв; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 3,35; 0,46; 8,91; 12; 24.03.1982; 0,03; Сидорова Екатерина Ивановна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,46; 7,73; 7,73; 21; 30.09.2002; 8,88; Фетисова Дарья Артёмовна; Дорогие друзья, постоянный кол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 9,28; 8,19; 3,9; 29; 09.07.2009; 1,02; Кононова Сафия Тимофеевна; Дорогие друзья, консультация с; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 7,95; 5,01; 6,9; 14; 20.11.2016; 2,42; Ушакова Ксения Кирилловна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 2,04; 6,22; 8,84; 78; 01.11.2019; 1,17; Петровская Елизавета Саввична; Повседневная практика показыва; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 8,56; 6,22; 5,01; 81; 10.01.2006; 3,9; Костина Зоя Ивановна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,51; 9,28; 3,14; 81; 12.12.2004; 6,49; Орлова Надежда Данииловна; Разнообразный и богатый опыт н; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 7,15; 6,28; 4,22; 89; 20.11.1971; 0,54; Широкова Аиша Дмитриевна; Таким образом, постоянное инфо; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,12; 1,02; 6,22; 86; 31.10.1997; 9,0; Сергеева Элина Артёмовна; Задача организации, в особенно; 
Задача организации, в особенно; Петрова Дарина Семёновна; 0,54; 3,85; 7,98; 21; 27.09.1980; 4,73; Зайцева Арина Давидовна; Практический опыт показывает, ; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 4,5; 5,85; 7,98; 51; 01.11.2019; 7,98; Шевелева Марина Васильевна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 3,14; 9,9; 3,14; 19; 24.01.1970; 4,73; Сидорова Екатерина Ивановна; Задача организации, в особенно; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,24; 5,66; 8,33; 63; 29.10.1987; 7,98; Селезнев Георгий Артёмович; Повседневная практика показыва; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 9,0; 4,98; 5,25; 42; 11.08.2013; 1,18; Кожевников Марк Романович; Равным образом дальнейшее разв; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 9,28; 8,91; 3,89; 75; 23.09.1987; 4,98; Симонов Максим Ильич; Таким образом, сложившаяся стр; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 0,06; 5,85; 3,9; 79; 27.09.1980; 4,51; Коровина Валерия Кирилловна; Равным образом дальнейшее разв; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,28; 6,9; 3,14; 85; 05.09.1999; 4,04; Зайцев Степан Андреевич; Разнообразный и богатый опыт п; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,22; 6,49; 7,73; 27; 30.09.2002; 1,17; Кожевников Марк Романович; Практический опыт показывает, ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,04; 1,02; 2,04; 59; 15.04.1986; 1,17; Ильина Василиса Михайловна; Практический опыт показывает, ; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 7,11; 9,16; 3,89; 22; 23.09.1987; 7,9; Семенов Константин Кириллович; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 3,89; 9,0; 5,25; 26; 20.11.2016; 0,4; Казаков Матвей Рустамович; Равным образом сложившаяся стр; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 7,73; 8,88; 3,9; 87; 25.03.1985; 6,22; Ильина Василиса Михайловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,02; 4,04; 5,01; 22; 23.09.1987; 0,4; Михеева Милана Марковна; Не следует, однако, забывать о; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 8,84; 5,01; 7,73; 42; 10.01.2006; 6,12; Сергеева Элина Артёмовна; Равным образом дальнейшее разв; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,25; 6,27; 1,0; 75; 09.10.1984; 5,55; Захарова Кристина Адамовна; С другой стороны новая модель ; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 2,04; 6,61; 5,51; 14; 04.12.2022; 2,42; Ушакова Ксения Кирилловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,25; 1,02; 7,9; 63; 27.05.1999; 5,99; Фролова Ольга Никитична; Соображения высшего порядка, а; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 6,61; 2,09; 6,22; 2; 11.08.2013; 9,28; Зайцев Александр Романович; Значимость этих проблем настол; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 7,73; 6,22; 6,61; 86; 29.12.1992; 4,22; Григорьев Михаил Кириллович; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,28; 4,98; 4,29; 67; 02.10.2019; 7,98; Тихонова Любовь Борисовна; Практический опыт показывает, ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,49; 8,4; 4,73; 51; 02.10.2019; 9,69; Русаков Егор Фёдорович; Таким образом, сложившаяся стр; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 2,09; 8,84; 8,33; 3; 20.11.2016; 5,99; Алексеева Виктория Максимовна; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,49; 5,99; 7,73; 18; 22.05.2022; 8,84; Гришин Тихон Максимович; Равным образом сложившаяся стр; 
Задача организации, в особенно; Петрова Дарина Семёновна; 6,22; 4,61; 4,73; 81; 27.05.1999; 2,21; Пименова Арина Степановна; Не следует, однако, забывать о; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 3,06; 9,0; 2,84; 21; 27.05.1999; 7,95; Морозов Игорь Саввич; Не следует, однако, забывать о; 
Задача организации, в особенно; Петрова Дарина Семёновна; 2,84; 9,9; 6,9; 87; 10.01.2006; 3,06; Казаков Матвей Рустамович; С другой стороны новая модель ; 
Задача организации, в особенно; Петрова Дарина Семёновна; 6,27; 2,84; 8,4; 21; 11.08.2013; 9,9; Семенов Константин Кириллович; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 9,9; 9,9; 9,16; 3; 23.09.1987; 3,35; Шевелева Марина Васильевна; Значимость этих проблем настол; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 7,11; 3,9; 7,11; 45; 01.11.2019; 6,28; Литвинов Тимур Ярославович; Разнообразный и богатый опыт р; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 0,4; 2,09; 9,0; 25; 25.03.1985; 9,69; Широкова Аиша Дмитриевна; Разнообразный и богатый опыт н; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 6,6; 5,01; 9,28; 83; 10.01.2006; 9,16; Попов Максим Леонович; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 9,9; 9,28; 5,82; 26; 29.12.1992; 5,25; Максимова Вероника Михайловна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,49; 6,61; 6,12; 75; 13.08.2011; 0,4; Злобин Вадим Михайлович; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 7,98; 5,85; 4,61; 69; 19.09.2019; 3,06; Алексеева Виктория Максимовна; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 2,42; 0,4; 3,89; 65; 22.07.2000; 3,9; Харитонова Виктория Викторовна; Не следует, однако, забывать о; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 6,27; 5,96; 7,15; 31; 19.09.1974; 1,17; Литвинов Тимур Ярославович; Практический опыт показывает, ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,23; 5,51; 1,13; 31; 21.01.2018; 1,13; Платонова Таисия Александровна; Разнообразный и богатый опыт п; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,96; 9,0; 4,5; 88; 13.08.2011; 1,17; Семенов Илья Максимович; Практический опыт показывает, ; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 5,99; 5,96; 5,55; 81; 09.07.2009; 6,61; Мартынов Данила Фёдорович; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 1,17; 1,02; 7,15; 21; 11.08.2013; 1,13; Литвинов Тимур Ярославович; Таким образом, постоянное инфо; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,96; 6,22; 8,19; 24; 20.11.2016; 8,19; Широкова Аиша Дмитриевна; Таким образом, сложившаяся стр; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 7,11; 1,13; 8,91; 94; 04.07.1999; 0,93; Королев Семён Михайлович; Дорогие друзья, постоянный кол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,9; 6,27; 9,28; 76; 09.10.1984; 1,51; Петрова Дарина Семёновна; Равным образом сложившаяся стр; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,56; 9,69; 6,61; 95; 05.09.1999; 4,5; Иванов Георгий Константинович; С другой стороны новая модель ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,0; 2,84; 8,84; 95; 05.11.2021; 1,18; Платонова Таисия Александровна; Задача организации, в особенно; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 1,51; 0,06; 9,16; 10; 15.04.1986; 5,51; Морозов Игорь Саввич; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 4,51; 1,13; 8,4; 51; 25.03.1985; 4,98; Андреев Константин Денисович; Разнообразный и богатый опыт н; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,22; 8,84; 4,73; 27; 23.09.1987; 8,85; Семенов Илья Максимович; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,46; 5,66; 0,54; 99; 27.07.2018; 4,22; Гришин Тихон Максимович; Повседневная практика показыва; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 7,9; 6,9; 5,51; 52; 13.08.2011; 1,0; Старостина Александра Леонидов; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 4,04; 0,4; 8,19; 44; 29.09.1970; 6,9; Тарасова Анна Фёдоровна; Соображения высшего порядка, а; 
Разнообразный и богатый опыт н; Петрова Дарина Семёновна; 5,96; 4,22; 9,16; 89; 11.08.2013; 0,06; Сергеева Элина Артёмовна; Задача организации, в особенно; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,98; 6,22; 6,22; 89; 15.02.2002; 6,6; Калашников Кирилл Кириллович; Значимость этих проблем настол; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 1,18; 6,61; 4,04; 59; 02.02.2006; 7,95; Максимова Вероника Михайловна; Равным образом дальнейшее разв; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 6,12; 9,16; 5,24; 25; 25.07.1991; 8,33; Костина Зоя Ивановна; Не следует, однако, забывать о; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 1,17; 5,14; 0,93; 2; 02.02.2006; 5,55; Фролова Ольга Никитична; Не следует, однако, забывать о; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,5; 5,14; 5,14; 12; 05.11.2021; 3,35; Злобин Вадим Михайлович; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,55; 5,96; 4,22; 7; 29.10.1987; 8,84; Зайцева Арина Давидовна; Практический опыт показывает, ; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 0,06; 6,5; 3,06; 7; 05.11.2021; 4,29; Воробьева Антонина Адамовна; Дорогие друзья, консультация с; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 8,56; 3,35; 3,35; 35; 04.12.2022; 5,01; Злобин Вадим Михайлович; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,96; 2,42; 9,9; 57; 11.08.2013; 4,29; Воробьева Антонина Адамовна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,84; 1,13; 5,85; 43; 12.09.2001; 6,5; Королев Семён Михайлович; Дорогие друзья, постоянный кол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 3,9; 6,22; 6,28; 83; 05.09.1999; 3,14; Широкова Аиша Дмитриевна; Задача организации, в особенно; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 8,19; 0,54; 5,82; 49; 22.05.2022; 5,24; Воронцова Елизавета Андреевна; Повседневная практика показыва; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,66; 0,06; 2,04; 65; 01.11.2019; 1,13; Морозов Олег Максимович; Значимость этих проблем настол; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 1,51; 8,19; 0,46; 52; 15.04.1986; 6,27; Воробьева Антонина Адамовна; Задача организации, в особенно; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 1,0; 9,69; 4,22; 57; 24.03.1982; 5,99; Зайцева Арина Давидовна; Соображения высшего порядка, а; 
Повседневная практика показыва; Петрова Дарина Семёновна; 1,0; 8,85; 5,01; 22; 19.09.2019; 6,9; Зайцев Александр Романович; Таким образом, сложившаяся стр; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 3,14; 5,23; 3,06; 99; 29.10.1987; 5,14; Морозов Олег Максимович; Разнообразный и богатый опыт п; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,04; 9,28; 0,4; 24; 04.12.2022; 3,35; Фетисова Дарья Артёмовна; Равным образом дальнейшее разв; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 2,84; 9,16; 0,4; 81; 15.04.1986; 8,4; Мещерякова Агния Кирилловна; Практический опыт показывает, ; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 6,22; 3,89; 1,02; 87; 02.02.2006; 8,33; Морозов Игорь Саввич; Не следует, однако, забывать о; 
